rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,time_ref,secs,nsecs,source
1536033270481538508,,176,,1536033270,481231261,'',,1536094326,490725000,fcu
1536033271482495171,,177,,1536033271,482156423,'',,1536094327,493726000,fcu
1536033272483098535,,178,,1536033272,482749424,'',,1536094328,494727000,fcu
1536033273481224731,,179,,1536033273,480889245,'',,1536094329,494728000,fcu
1536033274478849185,,180,,1536033274,478463960,'',,1536094330,492728000,fcu
1536033275505245000,,181,,1536033275,504787498,'',,1536094331,493729000,fcu
1536033276476785532,,182,,1536033276,476385906,'',,1536094332,493730000,fcu
1536033277481737712,,183,,1536033277,481217382,'',,1536094333,494731000,fcu
1536033278481833334,,184,,1536033278,481554838,'',,1536094334,493731000,fcu
1536033279484014637,,185,,1536033279,483789880,'',,1536094335,495732000,fcu
1536033280482042655,,186,,1536033280,481287980,'',,1536094336,497733000,fcu
1536033281481498681,,187,,1536033281,481299987,'',,1536094337,494734000,fcu
1536033282482411030,,188,,1536033282,482141334,'',,1536094338,496734000,fcu
1536033283490884925,,189,,1536033283,490555689,'',,1536094339,493735000,fcu
1536033284482211099,,190,,1536033284,481499664,'',,1536094340,495736000,fcu
1536033285482333685,,191,,1536033285,481877820,'',,1536094341,496737000,fcu
1536033286482331342,,192,,1536033286,481909153,'',,1536094342,492738000,fcu
1536033287481967637,,193,,1536033287,481287527,'',,1536094343,497738000,fcu
1536033288483156507,,194,,1536033288,482649503,'',,1536094344,494739000,fcu
1536033289482221733,,195,,1536033289,481775594,'',,1536094345,493740000,fcu
1536033290492445148,,196,,1536033290,491813365,'',,1536094346,494741000,fcu
1536033291482510006,,197,,1536033291,482187446,'',,1536094347,494741000,fcu
1536033292483082232,,198,,1536033292,482599341,'',,1536094348,492742000,fcu
1536033293482689913,,199,,1536033293,482403854,'',,1536094349,494743000,fcu
1536033294482113189,,200,,1536033294,481821629,'',,1536094350,495744000,fcu
1536033295482780092,,201,,1536033295,482199186,'',,1536094351,495744000,fcu
1536033296491684013,,202,,1536033296,491377166,'',,1536094352,496745000,fcu
1536033297483091153,,203,,1536033297,482529585,'',,1536094353,494746000,fcu
1536033298481991449,,204,,1536033298,481623850,'',,1536094354,497747000,fcu
1536033299482354918,,205,,1536033299,482207788,'',,1536094355,495748000,fcu
1536033300483111524,,206,,1536033300,482803351,'',,1536094356,493748000,fcu
1536033301481842102,,207,,1536033301,481521292,'',,1536094357,492749000,fcu
1536033302483521451,,208,,1536033302,483241079,'',,1536094358,495750000,fcu
1536033303491987258,,209,,1536033303,491854191,'',,1536094359,494751000,fcu
1536033304477099330,,210,,1536033304,476913099,'',,1536094360,491751000,fcu
1536033305482982541,,211,,1536033305,482509251,'',,1536094361,492752000,fcu
1536033306493734722,,212,,1536033306,493564667,'',,1536094362,494753000,fcu
1536033307502540815,,213,,1536033307,502181291,'',,1536094363,496754000,fcu
1536033308492855082,,214,,1536033308,492698427,'',,1536094364,495754000,fcu
1536033309493173937,,215,,1536033309,492596818,'',,1536094365,494755000,fcu
1536033310482395656,,216,,1536033310,482206974,'',,1536094366,495756000,fcu
