rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,coordinate_frame,type_mask,position,x,y,z,velocity,x,y,z,acceleration_or_force,x,y,z,yaw,yaw_rate
1536033392647305208,,2704,,1536033392,617697792,'',1,0,,-0.0796108469367,-0.118710555136,1.46818995476,,0.158551290631,0.123929858208,-0.699999988079,,-0.0586732774973,-0.0027872424107,5.51625108719,0.615090787411,0.0
1536033392742965807,,2705,,1536033392,717697792,'',1,0,,-0.0796108469367,-0.118710555136,1.44789087772,,0.153305128217,0.109532609582,-0.699999988079,,-0.0655892267823,-0.0127778863534,5.87509965897,0.617463171482,0.0
1536033392846339631,,2706,,1536033392,816697792,'',1,0,,-0.0796108469367,-0.118710555136,1.41170585155,,0.146635621786,0.0947856903076,-0.699999988079,,-0.0855320096016,-0.0182566549629,6.14178943634,0.617445468903,0.0
1536033392946581678,,2707,,1536033392,917697792,'',1,0,,-0.0796108469367,-0.118710555136,1.37103259563,,0.140229508281,0.0859722569585,-0.699999988079,,-0.0845777094364,0.0103353792801,6.25392913818,0.617445468903,0.0
1536033393045309476,,2708,,1536033393,17697792,'',1,0,,-0.0796108469367,-0.118710555136,1.32908630371,,0.134095102549,0.0806446522474,-0.699999988079,,-0.0847562402487,0.0260398872197,6.30280065536,0.617445468903,0.0
1536033393147638929,,2709,,1536033393,117697792,'',1,0,,-0.0796108469367,-0.118710555136,1.29634916782,,0.129905775189,0.0815677717328,-0.699999988079,,-0.0919770896435,0.0452652052045,6.3016242981,0.617445468903,0.0
1536033393235046234,,2710,,1536033393,217697792,'',1,0,,-0.0796108469367,-0.118710555136,1.26882231236,,0.126115500927,0.0809755176306,-0.699999988079,,-0.10542165488,0.0409349575639,6.25070667267,0.617445468903,0.0
1536033393323605576,,2711,,1536033393,317697792,'',1,0,,-0.0796108469367,-0.118710555136,1.20834183693,,0.122437179089,0.079843275249,-0.138239324093,,-0.092365950346,0.0375801473856,7.42755174637,0.617445468903,0.0
1536033393422201607,,2712,,1536033393,417697792,'',1,0,,-0.0796108469367,-0.118710555136,1.22726047039,,0.116346538067,0.0695467069745,0.558203577995,,-0.118648029864,-0.00232237856835,8.18380451202,0.617445468903,0.0
1536033393532257349,,2713,,1536033393,514697792,'',1,0,,-0.0796108469367,-0.118710555136,1.24194717407,,0.103400200605,0.0446616336703,0.848043203354,,-0.136132195592,-0.0898298472166,7.96274852753,0.617445468903,0.0
1536033393621992517,,2714,,1536033393,618694208,'',1,0,,-0.0796108469367,-0.118710555136,1.2876073122,,0.086242005229,0.0109911030158,0.947694838047,,-0.163549572229,-0.137108057737,7.5984082222,0.617445468903,0.0
1536033393723254397,,2715,,1536033393,719694208,'',1,0,,-0.0796108469367,-0.118710555136,1.35063445568,,0.0696516409516,-0.0222410857677,0.900025486946,,-0.162296786904,-0.169365167618,7.15235567093,0.617445468903,0.0
1536033393831928244,,2716,,1536033393,818696256,'',1,0,,-0.0796108469367,-0.118710555136,1.419459939,,0.0554954968393,-0.0513110309839,0.123426407576,,-0.184389412403,-0.182096004486,5.78756952286,0.593300938606,0.0
1536033393921744440,,2717,,1536033393,918704192,'',1,0,,-0.0796108469367,-0.118710555136,1.44168841839,,0.0438848622143,-0.0755979195237,-0.0340374708176,,-0.182822227478,-0.193023785949,5.78778505325,0.526064813137,0.0
1536033394043760882,,2718,,1536033394,19711360,'',1,0,,-0.0796108469367,-0.118710555136,1.44168841839,,0.0347873754799,-0.0941735580564,-0.0713911056519,,-0.187796577811,-0.173505410552,6.01687574387,0.426379650831,0.0
1536033394142486455,,2719,,1536033394,119711360,'',1,0,,-0.0796108469367,-0.118710555136,1.44168841839,,0.0274003334343,-0.107283964753,-0.092386841774,,-0.200772941113,-0.156701162457,6.19516515732,0.317778795958,0.0
1536033394222574485,,2720,,1536033394,219711360,'',1,0,,-0.0796108469367,-0.118710555136,1.44168841839,,0.0212124735117,-0.11565631628,-0.102292180061,,-0.202061876655,-0.146813765168,6.34680843353,0.20980925858,0.0
1536033394333899618,,2721,,1536033394,316715200,'',1,0,,-0.0796108469367,-0.118710555136,1.44168841839,,0.0157237704843,-0.120622254908,-0.104564189911,,-0.192929014564,-0.126174643636,6.43473482132,0.111749961972,0.0
1536033394422208989,,2722,,1536033394,415714432,'',1,0,,-0.0796108469367,-0.118710555136,1.54330134392,,0.0105076367036,-0.123543195426,0.23357181251,,-0.191671952605,-0.126484200358,7.14823865891,0.0536306649446,0.0
1536033394522627630,,2723,,1536033394,520711616,'',1,0,,-0.0796108469367,-0.118710555136,1.54449319839,,0.00606213882565,-0.125573694706,0.739520311356,,-0.191761165857,-0.138647302985,7.77248287201,0.0483617335558,0.0
1536033394642599444,,2724,,1536033394,620714176,'',1,0,,-0.0796108469367,-0.118710555136,1.56724107265,,0.00298758177087,-0.127561673522,1.03904032707,,-0.190301328897,-0.12481829524,7.94623374939,0.0485412627459,0.0
1536033394743058973,,2725,,1536033394,716711616,'',1,0,,-0.0796108469367,-0.118710555136,1.61082875729,,-6.7467983172e-05,-0.129948109388,1.04743134975,,-0.181777134538,-0.152476340532,7.55094385147,0.0489774495363,0.0
1536033394821390533,,2726,,1536033394,816717248,'',1,0,,-0.0796108469367,-0.118710555136,1.67469906807,,-0.00308857858181,-0.132937520742,1.03280568123,,-0.17705270648,-0.152140304446,7.21970176697,0.0489772111177,0.0
1536033394922412993,,2727,,1536033394,920714432,'',1,0,,-0.0796108469367,-0.118710555136,1.75435554981,,-0.00537175964564,-0.136169105768,1.03279101849,,-0.177543953061,-0.151333421469,7.03384876251,0.0489772111177,0.0
1536033395022540387,,2728,,1536033395,16714432,'',1,0,,-0.0796108469367,-0.118710555136,1.83607494831,,-0.00785230565816,-0.138278603554,1.04806041718,,-0.178134873509,-0.14047215879,6.93426513672,0.0489772111177,0.0
1536033395132956127,,2729,,1536033395,117714432,'',1,0,,-0.0796108469367,-0.118710555136,1.92697942257,,-0.0101462453604,-0.139071464539,1.2478042841,,-0.159829810262,-0.138524219394,7.21522474289,0.0489772111177,0.0
1536033395223051482,,2730,,1536033395,216714432,'',1,0,,-0.0796108469367,-0.118710555136,2.02681183815,,-0.0121547272429,-0.138161331415,1.37453496456,,-0.174547150731,-0.115894466639,7.2739777565,0.0489772111177,0.0
1536033395322130917,,2731,,1536033395,317720832,'',1,0,,-0.0796108469367,-0.118710555136,2.13863325119,,-0.014405073598,-0.135109052062,2.29794430733,,-0.170020833611,-0.113728418946,8.77349376678,0.084770873189,0.0
